ID;JP;JP_KANA;RU
522;塞がる;ふさがる;быть закрытым, быть перегороженным, быть засорённым, быть занятым
523;塞ぐ;ふさぐ;закрывать, затыкать, заполнять (время, вакансию), занимать (место)
524;巫山戯る;ふざける;шутить, балагурить, баловаться, заигрывать, флиртовать
525;武士;ぶし;воин, самурай
526;部首;ぶしゅ;иероглифический ключ
527;襖;ふすま;фусума (раздвижные бумажные двери)
528;附属;ふぞく;прилагаться к чему-л.
529;蓋;ふた;крышка, покрышка, чехол
530;不通;ふつう;перерыв сообщения, разрыв отношений, неосведомлённость
531;;ぶつかる;налетать, натыкаться на что-л., ударяться обо что-л., обращаться к кому-л.
532;;ぶつける;швырять чем-л. в кого-л., ударяться обо что-л.
533;物騒;ぶっそう;беспокойный, тревожный, ненадёжный, опасный
534;;ぶつぶつ;ворчать, брюзжать, жаловаться, придираться, сыпь
535;船便;ふなびん;пароходное сообщение, морская почта
536;部品;ぶひん;детали, запчасти, принадлежности
537;吹雪;ふぶき;метель, вьюга, буран, растрёпанные седые волосы
538;父母;ふぼ;отец и мать, родители
539;踏切;ふみきり;пересечение путей (ж/д), стартовая черта, выход за пределы круга арены
540;麓;ふもと;подножие, подошва (горы)
541;増やす;ふやす;увеличивать, приумножать
542;;フライパン;сковородка
543;;ブラウス;блузка
544;;ぶらさげる;повесить, нести (на руке, в руке)
545;;ブラシ;щётка
546;;プラスチック;пластик, пластмасса
547;;プラットホーム;платформа
548;;フリー;свободный, бесплатный
549;振り仮名;ふりがな;фуригана
550;;プリント;печать, печатный оттиск, печатное издание
551;振舞う;ふるまう;вести себя как-л., принимать, угощать
552;;ブローチ;брошь, сверло
553;;プログラム;комп. программа
554;風呂敷;ふろしき;фуросики (цветной платок для завязывания в него вещей)
555;;ふわふわ; мягко, легко, мягкий, нежный, пушистый, колеблющийся, легкомысленный
556;噴火;ふんか;извержение вулкана
557;分解;ぶんかい;разложение на составные части, расчленение, разборка, демонтаж, анализ 
558;文芸;ぶんげい;художественная литература
559;文献;ぶんけん;литература, библиография (по какому-л. вопросу), письменные источники
560;噴水;ふんすい;фонтан, фонтанирующая вода
561;分数;ぶんすう;мат. дробь
562;文体;ぶんたい;литературный стиль
563;分布;ぶんぷ;распространение, воен. распределение, рассеивание
564;文房具;ぶんぼうぐ;письменные (канцелярские) принадлежности
565;文脈;ぶんみゃく;контекст, ход изложения
566;分量;ぶんりょう;количество, доза, норма
567;分類;ぶんるい;классификация, сортировка
568;閉会;へいかい;закрытие (заседания, сессии и т. п.)
569;平気;へいき;спокойствие, хладнокровие, самообладание, равнодушие, безразличие
570;並行;へいこう;идти рядом, идти плечом к плечу, параллель, параллельность
571;平日;へいじつ;обычный день, обычное время, будни
572;兵隊;へいたい;солдат, войска
573;平凡;へいぼん;обычный, заурядный, банальный, посредственный, будничный, простой
574;平野;へいや;равнина, открытое поле
575;凹む;へこむ;вгибаться, оседать, поддаваться (при нажатии), сдаваться, струсить
576;臍;へそ;пуп, пупок
577;隔てる;へだてる;разделять, отгораживать, отдалять от кого-л., становиться между кем-л.
578;別荘;べっそう;дача, вилла
579;別々;べつべつ;отдельный, каждый, порознь, по отдельности, отдельно
580;;ベテラン;ветеран, опытный человек
581;;ヘリコプター;вертолёт
582;;ぺん;ручка
583;編集;へんしゅう;составление и редактирование, монтаж
584;便所;べんじょ;уборная, туалет
585;;ペンチ;щипцы, плоскогубцы, клещи
586;望遠鏡;ぼうえんきょう;телескоп
587;方角;ほうがく;направление (в т.ч. по компасу)
588;箒;ほうき;метла, веник
589;方言;ほうげん;диалект
590;坊さん;ぼうさん;буддийский монах
591;防止;ぼうし;предотвращение
592;方針;ほうしん;магнитная стрелка, курс, политическая линия
593;包装;ほうそう;упаковка, обёртка
594;法則;ほうそく;закон, правило
595;包帯;ほうたい;бинт, повязка, перевязка
596;膨大;ぼうだい;расширение, разбухание, мед. опухание, объёмистый, громадный
597;庖丁;ほうちょう;кухонный нож
598;方程式;ほうていしき;мат. уравнение
599;防犯;ぼうはん;предупреждение преступлений, борьба с преступностью
600;方面;ほうめん;сторона, направление, воен. направление, фронт, местность, район, сфера
601;坊や;ぼうや;мальчик, мальчуган
602;放る;ほうる;бросать, кидать куда-л., в кого-л., забрасывать, выбрасывать
603;;ボーナス;бонус, наградные, премия
604;朗らか;ほがらか;ясный, чистый, бодрый, весёлый
605;牧場;ぼくじょう;пастбище, выпас, выгон, пастбищный луг, скотоводческое хозяйство
606;牧畜;ぼくちく;скотоводство
607;保健;ほけん;здравоохранение, санитария, гигиена
608;募集;ぼしゅう;вербовка, набор, призыв, объявление подписки, объявление конкурса
609;干す;ほす;сушить, высушивать, проветривать (вещи), осушать
610;;ポスター;афиша, плакат, постер
611;北極;ほっきょく;Северный Полюс, полярный, арктический
612;坊っちゃん;ぼっちゃん;мальчуган, малыш, сынок, сыночек, маменькин сынок
613;解く;ほどく;развязывать, распутывать, распускать, распарывать
614;堀;ほり;канава, ров, канал
615;掘る;ほる;копать, бурить, искать в земле, выкапывать, ковырять, выковыривать
616;彫る;ほる;вырезать, гравировать, делать татуировку
617;;ぼろ;тряпьё, ветошь, отрепья, лохмотья, рвань, рубище
618;盆;ぼん;праздник О-Бон, поднос
619;盆地;ぼんち;котловина, впадина, низина
620;本部;ほんぶ;штаб, главное управление, штаб-квартира
621;本来;ほんらい;первоначально, по существу, само по себе, естественно, по природе
622;;まあまあ;полноте, довольно, ну, ну!, вероятно, о!, ах!
623;枚数;まいすう;число листов (страниц), объём (рукописи, книги)
624;毎度;まいど;каждый раз, постоянно, всегда
625;;マイナス;минус
626;巻く;まく;скатывать, свёртывать, скручивать, наматывать, обматывать
627;蒔く;まく;сеять что-л., засевать чем-л.
628;撒く;まく;рассыпать, разбрызгивать, распылять, ускользать, сбивать со следа, сеять
629;枕;まくら;подушка, валик (под голову), тех. станина
630;曲げる;まげる;сгибать, искривлять, накренять, поворачивать, искажать, извращать
631;;まごまご;запутаться, растеряться, допустить промах, околачиваться, мешкать
632;摩擦;まさつ;трение, трения (разногласия)
633;混ざる・混じる;まざる・まじる;быть смешанным (перемешанным), быть примешанным, быть разбавленным
634;;マスク;маска, респиратор
635;混ぜる・交ぜる;まぜる;смешивать, примешивать, подбавлять, включать
636;跨ぐ;またぐ;переступать, перешагивать (напр. через лужу), садиться верхом
637;待合室;まちあいしつ;комната (зал) ожидания
638;待ち合わせる;まちあわせる;встречаться (условившись о встрече), иметь рандеву
639;街角;まちかど;угол улицы
640;真っ暗;まっくら;полностью тёмный
641;真っ黒;まっくろ;полностью чёрный
642;真っ青;まっさお;тёмно-синий, полностью синий
643;真っ先;まっさき;впереди всех, раньше всех, прежде всего, самый первый
644;真っ白;まっしろ;полностью белый, белоснежный
645;祭る;まつる;обожествлять кого-л., поклоняться кому-л.
646;窓口;まどぐち;окно, окошко (напр. у кассы, бюро пропусков и т. п.)
647;纏まる;まとまる;быть собранным воедино, быть приведённым в порядок, быть разрешённым, уладиться
648;纏める;まとめる;собирать вместе (воедино), приводить в порядок, заканчивать, улаживать
649;真似る;まねる;подражать кому-л., имитировать кого-что-л., следовать примеру
650;眩しい;まぶしい;ослепительный, слепящий
651;瞼;まぶた;веки
652;;マフラー;шарф
653;間も無く;まもなく;скоро, в ближайшее время
654;;マラソン;марафон
655;稀;まれ;редкий, редкостный, необычный, редко
656;回り道;まわりみち;окольный (непрямой) путь, дорога в объезд
657;満員;まんいん;быть переполненным (мест нет, нет билетов)
658;;マンション;многоквартирный дом, жилой дом
659;満点;まんてん;высшая оценка, совершенство, безупречность
660;見送る;みおくる;провожать, прощаться, смотреть как кто-то уходит, упускать
661;見下ろす;みおろす;обозревать, смотреть сверху
662;見掛け;みかけ;внешний вид
663;三日月;みかづき;месяц, новолуние
664;岬;みさき;мыс
665;;みじめ;грустный, несчастный, жалкий
666;;ミシン;швейная машинка
667;店屋;みせや;магазин, лавка
668;見出し;みだし;заголовок
669;道順;みちじゅん;маршрут, курс, путь
670;;みっともない;позорный, неприличный
671;見直す;みなおす;пересмотр, повторный взгляд
672;見慣れる;みなれる;привыкать (видеть что-то)
673;醜い;みにくい;уродливый, непривлекательный
674;実る;みのる;приносить плоды, созревать
675;身分;みぶん;социальное положение
676;見本;みほん;сэмпл, образец
677;見舞う;みまう;навещать (особ. больного)
678;未満;みまん;менее, недостаточно
679;名字;みょうじ;фамилия
680;;ミリ;милли- (метр, грамм и т.п.)
681;診る;みる;делать медицинский осмотр
682;民間;みんかん;частный, гражданский, негосударственный
683;民謡;みんよう;народная песня, фольклор
684;向う;むこう;встречать, идти навстречу, быть лицом к
685;剥く;むく;очищать от кожи, шкуры, чешуи
686;無限;むげん;бесконечный, безлимитный
687;無地;むじ;гладкий
688;蒸し暑い;むしあつい;душный, жаркий, знойный
689;矛盾;むじゅん;противоречие
690;蒸す;ふかす;парить, выпаривать, быть знойным
691;無数;むすう;бесконечный, очень большое число
692;紫;むらさき;фиолетовый, сиреневый
693;群れ;むれ;группа, стадо, табун, стая, кластер и т.п.
694;姪;めい;племянница
695;名作;めいさく;шедевр
696;名刺;めいし;визитная карточка
697;名詞;めいし;существительное
698;名所;めいしょ;известное место, достопримечательность
699;命ずる;めいずる;командовать, указывать, назначать
700;迷信;めいしん;суеверие
701;名物;めいぶつ;известный/местный/особый товар, специализация (магазина, производства)
702;銘々;めいめい;каждый, индивидуально
703;目上;めうえ;начальник
704;;メーター;метр, прибор для измерения
705;恵まれる;めぐまれる;быть наделенным (напр. талантом)
706;巡る;めぐる;ходить вокруг, возвращаться, окружать
707;目指す;めざす;целиться в, приглядываться, проявлять интерес, "положить глаз"
708;目覚し;めざまし;будильник
709;目下;めした;подчиненный
710;目印;めじるし;знак, ориентир
711;目立つ;めだつ;выделяться
712;;めちゃくちゃ;абсурд, нонсенс, бессмыслица, беспорядок
713;;めっきり;замечательно
714;;めでたい;счастливый, благоприятный, радостный
715;;メニュー;меню
716;目眩;めまい;головокружение
717;目安;めやす;критерий, оценка, стандарт, грубая оценка, округление, приближение
718;免税;めんぜい;освобождение от налогов, пошлины
719;面積;めんせき;площадь (мат.)
720;面接;めんせつ;интервью
721;面倒臭い;めんどうくさい;беспокойный, утомительный, помеха
722;儲かる;もうかる;быть прибыльным, приносить прибыль
723;儲ける;もうける;получать прибыль, зарабатывать, получать, выигрывать
724;申し訳ない;もうしわけない;Извините! непростительный, большое спасибо (за помощь)
725;;モーター;мотор, двигатель
726;木材;もくざい;древесина, дерево как материал
727;目次;もくじ;содержание, оглавление
728;潜る;もぐる;нырять, проскочить, избежать
729;;もしかしたら・もしかすると;возможно, может быть
730;;もたれる;опираться, прислоняться, облокачиваться, плохо перевариваться
731;;モダン;современный
732;餅;もち;моти (рисовая лепешка)
733;;もったいない;кощунственный, лицемерный, нечестивый, слишком хороший
734;;モデル;модель
735;元々;もともと;изначально, от природы
736;物置;ものおき;склад, кладовая
737;物語る;ものがたる;говорить, означать
738;物差し;ものさし;линейка, средство измерения
739;物凄い;ものすごい;поразительный, ошеломляющий, ужасный
740;;モノレール;монорельс
741;紅葉;もみじ;желтые или красные листья
742;揉む;もむ;тереть, мять, массировать
743;燃やす;もやす;сжигать
744;催し;もよおし;событие, фестиваль, собрание, представление
745;盛る;もる;подавать (еду), накладывать, давать лекарство
746;問答;もんどう;вопросы и ответы, диалог
747;;やかましい;шумный, бурный, возбужденный
748;夜間;やかん;ночью, в ночное время
749;薬缶;やかん;чайник
750;役者;やくしゃ;актёр, актриса
751;役所;やくしょ;правительственное, государственное или муниципальное учреждение
752;訳す;やくす;переводить, интерпретировать
753;役人;やくにん;чиновник
754;薬品;やくひん;медикаменты, химикаты
755;役目;やくめ;обязанность, роль, служба, дело
756;火傷;やけど・かしょう;ожог
757;夜行;やこう;хождение (езда, путешествие) ночью, ночной поезд
758;矢印;やじるし;(указательная) стрелка
759;矢鱈に;やたらに;без разбора, как попало, наобум, наудачу, необдуманно, неосмотрительно
760;薬局;やっきょく;аптека
761;遣付ける;やっつける;накинуться, броситься на, побить, проучить, расправиться, прикончить
762;家主;やぬし;домовладелец, хозяин дома, арендодатель
763;;やっぱり;всё-таки, всё же, всё равно, всё ещё, по-прежнему, также, тоже
764;破く;やぶく;разбивать, ломать, прорывать(ся), вламываться, побивать рекорд, разбивать врага, нарушать правила, срывать (планы)
765;破れる;やぶれる;ломаться, снашиваться, прерываться, быть побеждённым, терпеть неудачу
766;止むを得ない;やむをえない;неизбежный, неминуемый, вынужденный, обязательный
767;遊園地;ゆうえんち;парк, площадка для игр (для гулянья)
768;夕刊;ゆうかん;вечерний выпуск (газеты)
769;友好;ゆうこう;дружба
770;郵送;ゆうそう;посылка по почте
771;夕立;ゆうだち;(внезапный) вечерний дождь
772;夕日;ゆうひ;заходящее солнце
773;悠々;ゆうゆう;спокойно, неторопливо, безмятежно, огромный, безграничный
774;有料;ゆうりょう;платный, за деньги
775;浴衣;ゆかた;юката (лёгкое летнее кимоно)
776;湯気;ゆげ;пар
777;輸血;ゆけつ;переливание крови
778;輸送;ゆそう;перевозка, транспортировка
779;油断;ゆだん;невнимательность, небрежность, неосторожность
780;茹でる;ゆでる;кипятить, варить, отваривать
781;湯飲み;ゆのみ;чайная чашка
782;緩い;ゆるい;нетугой, неплотный, медленный, не резкий, не крутой
783;溶岩;ようがん;лава (вулканическая)
784;容器;ようき;сосуд, вместилище, контейнер, посуда
785;用語;ようご;термин, терминология, номенклатура, язык, слог, словарь, запас слов
786;要旨;ようし;основное содержание, суть
787;幼児;ようじ;ребёнок, дитя, младенец
788;容積;ようせき;ёмкость, вместимость, объём, кубический
789;幼稚;ようち;детский, инфантильный
790;幼稚園;ようちえん;детский сад
791;用途;ようと;применение, использование, способ использования, назначение (предмета)
792;洋品店;ようひんてん;магазин импортных товаров
793;養分;ようぶん;питательные элементы, питательность
794;羊毛;ようもう;шерсть
795;漸く;ようやく;постепенно, мало-помалу, наконец, в конце концов, еле-еле
796;要領;ようりょう;суть, сущность
797;欲張り;よくばり;жадность, алчность, скупость, скаред
798;余計;よけい;излишек, лишнее
799;遣す･寄越す;よこす;посылать, передавать, давать
800;汚す;よごす;пачкать, загрязнять
801;寄せる;よせる;приближать, подпускать, собирать, созывать, складывать, отправлять
802;余所;よそ;в другом месте, другой, из других мест, чужой
803;四つ角;よつかど;перекрёсток
804;酔っ払い;よっぱらい;пьяный, пьяница
805;予備;よび;подготовка, запас, резерв
806;呼び掛ける;よびかける;окликать, обращаться к кому-либо, призывать кого-л. к чему-л.
807;呼び出す;よびだす;вызывать кого-л.
808;蘇る;よみがえる;оживать, воскресать
809;因る;よる;основываться на, выводиться из
810;慶び;よろこび;радость, восторг, удовольствие, поздравление
811;慶ぶ;よろこぶ;радоваться, восторгаться, поздравлять
812;来日;らいにち;приезд в Японию
813;落第;らくだい;провал, отчисление
814;;ラッシュアワー;час пик
815;欄;らん;колонка, столбец, полоса, графа, ограда, перила
816;;ランチ;ланч
817;;ランニング;бег, соревнование в беге
818;乱暴;らんぼう;буйство, дебоширство, хулиганство, грубый, беззаконный, непомерный
819;理科;りか;наука
820;利害;りがい;преимущества и недостатки, выгоды и убытки, интересы
821;;リズム;ритм
822;;リットル;литр
823;;リボン;ленточка
824;略す;りゃくす;сокращать, опускать
825;流域;りゅういき;бассейн реки
826;寮;りょう;общежитие
827;両側;りょうがわ;обе стороны
828;漁師;りょうし;рыбак
829;領事;りょうじ;консул
830;領収;りょうしゅう;квитанция, расписка
831;臨時;りんじ;экстренный, чрезвычайный, специальный, на случай, временный
832;留守番;るすばん;присмотр за домом, присматривающий за домом
833;例外;れいがい;исключение
834;零点;れいてん;ноль, ничто
835;冷凍;れいとう;замораживание, хранение в холодном месте
836;;レインコート;дождевик
837;;レクリェーション;отдых
838;;レジャー;отдых, свободное время
839;列島;れっとう;архипелаг, острова
840;;レベル;уровень
841;;リポート;отчет, доклад
842;煉瓦;れんが;кирпич
843;連合;れんごう;объединение, союз, ассоциация
844;;レンズ;линзы, объектив
845;蝋燭;ろうそく;свеча
846;;ローマじ;запись латинскими буквами
847;録音;ろくおん;звукозапись, грамзапись, запись по трансляции
848;;ロッカー;шкаф, ящик
849;;ロビー;вестибюль, лобби
850;論ずる;ろんずる;спорить, обсуждать
851;和英;わえい;японско-английский
852;分る;わかる;быть ясным, понятным, понятым
853;分かれる;わかれる;разделяться, отделяться, расходиться
854;若々しい;わかわかしい;совсем юный, очень молодой
855;湧く;わく;бить (о фонтане), возникать, внезапно появляться, заводиться (о насекомых)
856;詫びる;わびる;извиняться, просить прощения за что-л.
857;和服;わふく;японская одежда
858;割算;わりざん;мат. деление
859;割と;わりと;сравнительно, относительно
860;割引;わりびき;скидка, дисконт
861;椀;わん;японская деревянная чаша
862;碗;わん;фарфоровая чаша
863;;ワンピース;платье (женское, европейского покроя), детский комбинезон
864;交じる;まじる;быть смешанным, быть примешанным, быть разбавленным, замешаться
865;交ざる;まざる;быть смешанным, быть примешанным, смешаться, замешаться
866;混ぜる;まぜる;смешивать, подмешивать
867;逃す;のがす;давать убежать, упускать (шанс)
868;殖やす;ふやす;увеличивать, приумножать, расширять, разводить (скот)
869;難い;かたい;трудный, сложный, невозможный
