ID;JP;JP_KANA;RU
608;爽やか;さわやか;свежий, освежающий, звонкий
609;三角;さんかく;треугольник
610;算数;さんすう;арифметика
611;酸性;さんせい;кислотность
612;産地;さんち;место производства, место произрастания
613;;サンプル;пример
614;山林;さんりん;горный лес
615;仕上がる;しあがる;быть законченным, завершаться
616;明明後日;しあさって;через два дня
617;;シーズン;сезон (в спорте, в плане урожая)
618;;シーツ;простыня
619;寺院;じいん;храм
620;;しいんと;тихо как в могиле
621;自衛;じえい;самооборона, самозащита
622;塩辛い;しおからい;пересоленный
623;司会;しかい;председательствование, проведение собрания и т.п.
624;四角;しかく;квадрат
625;四角い;しかくい;четырехугольный
626;時間割;じかんわり;расписание
627;四季;しき;четыре времени года
628;敷地;しきち;площадка, территория, участок
629;至急;しきゅう;срочный, неотложный, экстренный
630;敷く;しく;расстелить, продолжить, покрыть
631;茂る;しげる;густо расти, зарастать
632;持参;じさん;приносить с собой
633;磁石;じしゃく;магнит, компас
634;四捨五入;ししゃごにゅう;(мат.) округление
635;始終;しじゅう;все время, постоянно, от начала до конца
636;自習;じしゅう;самообучение, самостоятельное обучение
637;静まる;しずまる;успокаиваться,утихнуть, затихнуть, быть успокоенным
638;姿勢;しせい;поза, положение тела, осанка
639;自然科学;しぜんかがく;естественные науки, естествознание, естествоведение
640;時速;じそく;скорость в час
641;子孫;しそん;потомство, потомки
642;死体;したい;труп, мёртвое тело
643;下書き;したがき;черновик, набросок
644;下町;したまち;нижняя (торговая) часть города
645;自治;じち;автономия, самоуправление
646;実感;じっかん;чувственное восприятие, реальное переживание
647;湿気;しっけ;сырость, влажность, мокрота
648;;しつこい;назойливый, упорный, навязчивый, докучливый
649;実習;じっしゅう;практика, практические занятия
650;実績;じっせき;достижения, реальные результат
651;湿度;しつど;влажность, уровень влажности
652;執筆;しっぴつ;писательство
653;実物;じつぶつ;оригинал, настоящая вещь
654;尻尾;しっぽ;хвост
655;実用;じつよう;практическое использование, применение на практике
656;実力;じつりょく;реальная сила, настоящая способность, практическая работа
657;実例;じつれい;живой пример, прецедент
658;失恋;しつれん;несчастная любовь
659;指定;してい;указание, назначение, определение
660;私鉄;してつ;частная железная дорога
661;児童;じどう;ребёнок, дети
662;縛る;しばる;связывать, привязывать, ограничить
663;地盤;じばん;фундамент, грунт, база, основа
664;痺れる;しびれる;онеметь, затечь, оцепенеть, быть парализованным
665;紙幣;しへい;бумажные деньги, банкноты
666;;しぼむ;увядать, сохнуть, блёкнуть
667;絞る;しぼる;сжимать, выжимать, доить корову
668;縞;しま;полоска, полоса
669;地味;じみ;простой, умеренный, скромный
670;;しみじみ;серьёзно, проникновенно, глубоко
671;氏名;しめい;фамилия и имя
672;締切;しめきり;конец, закрытие, прекращение приёма
673;締め切る;しめきる;закрывать, прекращать, заканчивать
674;湿る;しめる;отсыреть, намокнуть, стать грустным
675;;ジャーナリスト;журналист
676;社会科学;しゃかいかがく;общественные науки
677;;しゃがむ;опуститься на корточки, сидеть на корточках
678;蛇口;じゃぐち;выпускное отверстие, водопроводный кран
679;弱点;じゃくてん;слабое место, слабость
680;車庫;しゃこ;гараж, депо
681;車掌;しゃしょう;кондуктор, проводник
682;写生;しゃせい;рисование с натуры, эскиз, набросок
683;社説;しゃせつ;передовая статья
684;;しゃっくり;икота
685;;シャッター;задвижка, заслонка, ставни
686;;しゃぶる;сосать
687;車輪;しゃりん;колесо, шасси
688;洒落;しゃれ;шутка, острота, каламбур, игра слов
689;;じゃんけん;игра "камень-ножницы-бумага"
690;集会;しゅうかい;митинг, собрание
691;住居;じゅうきょ;жилище, дом, жилое помещение, жильё
692;集金;しゅうきん;сбор денег
693;集合;しゅうごう;собирание, сбор, множество
694;習字;しゅうじ;упражнение в чистописании, каллиграфия
695;修繕;しゅうぜん;починка, ремонт, исправление
696;重体;じゅうたい;серьёзное заболевание,　кризис
697;;じゅうたん;ковер
698;終点;しゅうてん;конечная остановка, конечный пункт
699;重点;じゅうてん;главное, важнейший пункт
700;就任;しゅうにん;вступление в должность
701;周辺;しゅうへん;окружение, окружность
702;重役;じゅうやく;директор, высший администратор
703;終了;しゅうりょう;конец, окончание, завершение, истечение
704;重量;じゅうりょう;вес, тяжесть
705;重力;じゅうりょく;сила тяжести
706;熟語;じゅくご;идиома, фразеологический оборот, сложное слово
707;祝日;しゅくじつ;национальный праздник
708;縮小;しゅくしょう;сокращение, уменьшение, ограничение
709;受験;じゅけん;сдача (прохождение) экзамена
710;主語;しゅご;подлежащее
711;出勤;しゅっきん;приход на работу, явка на службу
712;述語;じゅつご;сказуемое
713;出張;しゅっちょう;командировка
714;寿命;じゅみょう;жизнь, продолжительность жизни, срок годности
715;主役;しゅやく;главная роль (в кино, театре)
716;受話器;じゅわき;телефонная трубка, наушники
717;循環;じゅんかん;вращение, циркуляция, круговорот
718;巡査;じゅんさ;полицейский
719;順々;じゅんじゅん;по порядку, по очереди
720;順序;じゅんじょ;последовательность, порядок, система, очередь
721;純情;じゅんじょう;невинный, искренний, наивный
722;純粋;じゅんすい;чистый, истинный, подлинный
723;消化;しょうか;пищеварение, усвоение (пищи, информации), освоение
724;小学生;しょうがくせい;ученик младшей школы
725;;しょうがない;ничего не поделаешь, делать нечего
726;将棋;しょうぎ;японские шахматы
727;蒸気;じょうき;пар, испарения
728;定規;じょうぎ;линейка
729;上級;じょうきゅう;высший уровень, старший класс
730;商業;しょうぎょう;коммерция, торговля, бизнес
731;消極的;しょうきょくてき;пассивный, негативный, отрицательный
732;賞金;しょうきん;приз, денежная награда, премия
733;上下;じょうげ;верх и низ, выше и ниже, подъем и спуск
734;障子;しょうじ;сёдзи (бумажные раздвижные двери)
735;商社;しょうしゃ;торговая компания
736;乗車;じょうしゃ;посадка в транспорт
737;上旬;じょうじゅん;первая декада месяца
738;生ずる;しょうずる;производить, приносить результат, производить эффект
739;小数;しょうすう;десятичная дробь
740;商店;しょうてん;магазин, лавка
741;焦点;しょうてん;фокус, центр
742;消毒;しょうどく;дезинфекция, стерилизация
743;勝敗;しょうはい;победа или поражение, исход битвы
744;蒸発;じょうはつ;испарение, парообразование, улетучивание
745;賞品;しょうひん;приз, трофей, награда
746;勝負;しょうぶ;матч, соревнование, игра, состязание, победа или поражение
747;小便;しょうべん;моча
748;消防署;しょうぼうしょ;пожарная часть, пожарная охрана
749;正味;しょうみ;чистый, нетто
750;正面;しょうめん;фасад, фронт, передняя часть
751;消耗;しょうもう;истощение, растрата, износ
752;省略;しょうりゃく;сокращение, пропуск
753;初級;しょきゅう;базовый уровень, начинающий уровень
754;助教授;じょきょうじゅ;старший преподаватель, доцент
755;食塩;しょくえん;поваренная соль
756;職人;しょくにん;работник, мастер, ремесленник
757;初旬;しょじゅん;первая декада месяца
758;書籍;しょせき;книга
759;食器;しょっき;столовые приборы, посуда
760;;ショップ;магазин
761;書店;しょてん;книжный магазин
762;書道;しょどう;каллиграфия
763;白髪;しらが・はくはつ;седые волосы, седина
764;知合い;しりあい;знакомство, знакомый
765;;シリーズ;серия
766;私立;しりつ;частный (напр. учреждение)
767;資料;しりょう;материал, данные, документ
768;汁;しる;сок, суп
769;素人;しろうと;любитель, дилетант
770;芯;しん;ядро, фитиль, стержень, костный мозг, начинка
771;新幹線;しんかんせん;синкансен (сверхскоростной поезд)
772;真空;しんくう;вакуум
773;信ずる;しんずる;верить, доверять
774;心身;しんしん;тело и душа
775;申請;しんせい;заявление, прошение, ходатайство
776;人造;じんぞう;искусственный
777;寝台;しんだい;кровать, койка, спальное место
778;診断;しんだん;диагноз, медицинское заключение
779;侵入;しんにゅう;вторжение, проникновение, агрессия, налёт
780;人文科学;じんぶんかがく;гуманитарные науки
781;人命;じんめい;человеческая жизнь
782;深夜;しんや;поздняя ночь
783;森林;しんりん;лес
784;親類;しんるい;родня, родственники, родство
785;針路;しんろ;направление, курс
786;神話;しんわ;миф, легенда
787;酢;す;уксус
788;水産;すいさん;морепродукты
789;炊事;すいじ;готовка, кулинария, стряпня
790;水蒸気;すいじょうき;водяной пар
791;水素;すいそ;водород
792;垂直;すいちょく;отвесность, вертикальность, перпендикулярность
793;推定;すいてい;предположение, допущение, оценка
794;水滴;すいてき;капля воды
795;水筒;すいとう;фляга, бутылка воды
796;随筆;ずいひつ;эссе, очерк, записки, заметка
797;水分;すいぶん;влага, влажность, сок
798;水平;すいへい;горизонталь, уровень воды
799;水平線;すいへいせん;горизонт (по уровню воды)
800;水曜;すいよう;(сокр.) среда
801;図々しい;ずうずうしい;бесстыдный, наглый, дерзкий, бесстыдный
802;;ずうっと;всегда, всё время, очень, намного
803;末っ子;すえっこ;младший ребёнок
804;;スカーフ;шарф
805;図鑑;ずかん;атлас
806;杉;すぎ;японский кедр
807;好き嫌い;すききらい;вкус, пристрастие
808;好き好き;すきずき;дело вкуса
809;透き通る;すきとおる;быть прозрачным, виднеться сквозь
810;隙間;すきま;трещина, щель, скважина
811;;スクール;школа
812;;すくなくとも;по крайней мере
813;図形;ずけい;график, форма
814;;スケジュール;расписание, график, план, программа
815;鈴;すず;колокольчик, звонок, бубенчик
816;涼む;すずむ;охлаждаться, дышать прохладой, освежиться, выйти на воздух
817;;スタート;старт
818;;スチュワーデス;стюардесса, бортпроводница
819;;すっきり;чисто, опрятно, свежо
820;酸っぱい;すっぱい;кислый
821;;ステージ;сцена, эстрада, стадия, этап
822;棄てる;すてる;выбрасывать, бросить
823;;ストッキング;колготки, чулки
824;;ストップ;стоп
825;素直;すなお;покорный, послушный, кроткой, мягкий
826;頭脳;ずのう;голова, интеллект, мозг
827;;スピーカー;громкоговоритель, рупор
828;図表;ずひょう;диаграмма, график, таблица
829;;スマート;нарядный, стильный, изящный
830;住まい;すまい;жильё, дом, проживание
831;;すまない;Извините!, неловко (перед кем-л.)
832;墨;すみ;чернила, тушь
833;澄む・清む;すむ;проясниться (про погоду), стать чистым, прозрачным
834;相撲;すもう;сумо
835;;スライド;скольжение, слайд
836;滑らす;ずらす;сдвигать, переставлять, откладывать
837;;ずらり;в ряд
838;刷る;する;печатать
839;狡い;ずるい;коварный, хитрый, подлый, нечестный
840;擦れ違う;すれちがう;проходить мимо, разойтись
841;滑れる;すべれる;соскальзывать, соскакивать, сдвигаться, заносить (об автомашине)
842;寸法;すんぽう;мера, размер, размерность, протяжение, план, предположение
843;姓;せい;фамилия
844;税関;ぜいかん;таможня
845;製作;せいさく;производство, изготовление
846;制作;せいさく;произведение, творчество
847;性質;せいしつ;характер, нрав, качество, свойство
848;清書;せいしょ;чистописание, чистовик
849;青少年;せいしょうねん;молодежь, молодой человек
850;整数;せいすう;целое число
851;清掃;せいそう;чистка, очищение
852;生存;せいぞん;существование, жить, выжить, остаться в живых
853;生長;せいちょう;развитие, рост
854;政党;せいとう;политическая партия
855;生年月日;せいねんがっぴ;дата рождения
856;性能;せいのう;возможность, способность, технические данные
857;整備;せいび;приведение в готовность, налаживание, оборудовать
858;成分;せいぶん;ингредиент, компонент, состав
859;性別;せいべつ;пол, разделение по полу
860;正方形;せいほうけい;квадрат
861;正門;せいもん;главные ворота
862;成立;せいりつ;осуществление, учреждение, организация, заключение
863;西暦;せいれき;христианская эра, европейское летоисчисление, наша эра
864;背負う;せおう;нести на спине, взять на себя
865;赤道;せきどう;экватор
866;折角;せっかく;с большим трудом, большими усилиями, специально, особенно
867;接近;せっきん;приближение
868;接する;せっする;соприкасаться, касаться, граничить, примыкать
869;;せっせと;усердно, старательно, неутомимо
870;接続;せつぞく;присоединение, сцепление, связь
871;瀬戸物;せともの;фарфор, керамика
872;;ぜひとも;любыми средствами, любой ценой
873;迫る;せまる;надвигаться, наступать, оказать давление, вынудить, требовать
874;;ゼミ;семинар
875;;せめて;хотя бы, по крайней мере
876;攻める;せめる;нападать, атаковать
877;;セメント;цемент
878;栓;せん;пробка, затычка, задвижка
879;前後;ぜんご;до и после, передняя и задняя сторона, около, приблизительно
880;洗剤;せんざい;моющее средство
881;全集;ぜんしゅう;полное собрание сочинений
882;全身;ぜんしん;все тело, в полный рост
883;扇子;せんす;складной веер
884;専制;せんせい;деспотия, самодержавие
885;先々月;せんせんげつ;позапрошлый месяц
886;先々週;せんせんしゅう;позапрошлая неделя
887;先祖;せんぞ;предок, родоначальник
