JP;JP_KANA;RU
収入;しゅうにゅう;доход, приход, поступления
住民;じゅうみん;жители, население
重要;じゅうよう;важный, серьезный
修理;しゅうり;ремонт, починка
主義;しゅぎ;принцип, идея, курс, система
宿泊;しゅくはく;ночевка, размещение (напр., в гостинице)
手術;しゅじゅつ;хирургическая операция
首相;しゅしょう;премьер-министр
手段;しゅだん;средство, мера
主張;しゅちょう;утверждение, требование, претензия
出身;しゅっしん;происходить, быть родом, быть выходцем
出席;しゅっせき;посещение (занятий), присутствие
出版;しゅっぱん;публикация, издание, выпуск
首都;しゅと;столица
主婦;しゅふ;домохозяйка, хозяйка
主要;しゅよう;главный, наиважнейший
需要;じゅよう;спрос, потребление
種類;しゅるい;вид, род, сорт, тип
順;じゅん;порядок, последовательность, очередь
瞬間;しゅんかん;миг, мгновение, момент
順調;じゅんちょう;благоприятный (ход, течение)
順番;じゅんばん;очередность, порядок, последовательность
使用;しよう;употребление, использование, применение
小;しょう;малый, мелкий, младший
章;しょう;глава (книги), значок, эмблема
賞;しょう;награда, приз, премия
上;じょう;верх, верхняя часть, первый том, верхний
障害;しょうがい;препятствие, помеха, повреждение, неисправность
奨学金;しょうがくきん;стипендия
乗客;じょうきゃく;пассажир
上京;じょうきょう;приезд в столицу (Токио)
状況;じょうきょう;ситуация, обстановка, положение дел
条件;じょうけん;условие, договоренность
正午;しょうご;полдень
正直;しょうじき;честность, прямота
常識;じょうしき;здравый смысл, общепринятое мнение
少女;しょうじょ;девушка
少々;しょうしょう;немного, чуть-чуть
症状;しょうじょう;состояние больного, симптомы
生じる;しょうじる;возникать, происходить, порождать, вызывать
状態;じょうたい;состояние, положение, условия (жизни, климатические) 
上達;じょうたつ;продвижение, успехи (в учебе)
冗談;じょうだん;шутка
上等;じょうとう;первосортный, высококачественный, отборный
衝突;しょうとつ;столкновение (автомобилей), коллизия, конфликт, схватка (воен.)
商人;しょうにん;купец, торговец
承認;しょうにん;одобрение, признание, согласие
少年;しょうねん;мальчик, подросток, малолетний
商売;しょうばい;торговля, бизнес, профессия
消費;しょうひ;расходование, потребление
商品;しょうひん;товар(ы)
消防;しょうぼう;пожарная охрана
情報;じょうほう;информация, сведения
証明;しょうめい;доказательство, подтверждение, свидетельство
女王;じょおう;королева, ферзь
職;しょく;профессия, должность, место работы
職業;しょくぎょう;занятие, профессия
食事;しょくじ;принятие пищи, еда
食卓;しょくたく;обеденный стол
植物;しょくぶつ;растение, растительность, флора
食物;しょくもつ;еда, пища
食欲;しょくよく;аппетит (к еде)
食料;しょくりょう;еда, продукты, питание
食糧;しょくりょう;продовольствие, провиант
書斎;しょさい;рабочий кабинет
女子;じょし;женщина
助手;じょしゅ;ассистент, помощник
徐々に;じょじょに;медленно, постепенно
署名;しょめい;подпись, автограф
書物;しょもつ;книга
女優;じょゆう;актриса
処理;しょり;обработка, лечение, принятие мер
書類;しょるい;документы, бумаги
知らせ;しらせ;извещение, уведомление, объявление
尻;しり;зад, ягодицы, конец, низ
印;しるし;знак, символ, эмблема, признак, свидетельство
城;しろ;замок, крепость, цитадель
進学;しんがく;повышение образовательного уровня
神経;しんけい;нервы, нервный, чувствительный
真剣;しんけん;серьезный, всерьёз, настоящий меч
信仰;しんこう;религиозная вера, исповедовать, верить
信号;しんごう;светофор, сигнал, сигнализация
人工;じんこう;человеческий труд, умение, искусственный
深刻;しんこく;глубокий, серьезный, острый
診察;しんさつ;медицинский осмотр, приём у врача
人種;じんしゅ;раса (людей)
信じる;しんじる;верить, доверять, быть уверенным
人生;じんせい;(человеческая) жизнь
親戚;しんせき;родственник, родня
新鮮;しんせん;свежий
心臓;しんぞう;сердце (анат.)
身体;しんたい;тело (человека)
身長;しんちょう;рост (человека)
慎重;しんちょう;осмотрительность, осторожность
審判;しんぱん;суд, судейство (спорт.)
人物;じんぶつ;человек, индивидуальность, персонаж, талантливый человек
進歩;しんぽ;прогресс
親友;しんゆう;близкий друг
信用;しんよう;доверие, репутация, надежность
信頼;しんらい;доверие
心理;しんり;душевное состояния, психология
人類;じんるい;человечество
巣;す;гнездо, улей, берлога, нора, паутина, притон (перен.)
図;ず;чертеж, план, схема, расчет
水準;すいじゅん;уровень воды, уровень, степень
推薦;すいせん;рекомендация
;スイッチ;переключатель, выключатель
随分;ずいぶん;порядком, очень
睡眠;すいみん;сон
数;すう;цифра, число, результат, принцип, несколько (в сочет.)
数字;すうじ;цифра
;スープ;суп
末;すえ;конец, окончание, в конечное счете, пустяки, мелочи, будущее
姿;すがた;фигура, вид, образ, поза, состояние, положение
;スキー;лыжи
空く;すく;быть пустым, становиться пустым
救う;すくう;спасать, выручать, помогать
優れる;すぐれる;превосходить, быть выше
;スケート;коньки, катание на коньках
少しも;すこしも;нисколько, ничуть, совсем (с отриц.)
過ごす;すごす;проводить (время), превышать, переходить предел
筋;すじ;мускул, мышца, вена, волокно, борозда, источник, сч. суф. для линий, канатов и т.п.
進める;すすめる;продвигать, передвигать вперед, развивать, повышать
勧める;すすめる;советовать, рекомендовать, предлагать, убеждать
;スター;звезда (экрана)
;スタイル;стиль, мода, фасон, прическа
;スタンド;подставка, стойка, трибуны, буфет, закусочная (где едят стоя)
頭痛;ずつう;головная боль, заботы (обр.)
;ずっと;гораздо более, далеко, прямо, все время, сплошь
;すてき;замечательный, чудесный
既に;すでに;уже, вот-вот совсем
;すなわち;то есть, а именно
;スピーチ;речь
全て;すべて;все, всё, полностью, целиком
済ませる;すませる;заканчиваться, завершаться
#角;すみ;угол (внутренний)
為る;する;делать, совершать
;すると;тогда, вслед за этим, в таком случае, значит
鋭い;するどい;острый
正;せい;справедливость, правда, правильность
生;せい;жизнь, существование
性;せい;пол (муж., жен.)
所為;せい;вина, причина
税;ぜい;налог, пошлина, сбор
性格;せいかく;характер (человека), черта характера
正確;せいかく;точность, правильность
世紀;せいき;век, столетие
請求;せいきゅう;требование, запрос, взыскание
税金;ぜいきん;налог, пошлина, сбор
清潔;せいけつ;чистота
制限;せいげん;ограничение, предел, лимит
成功;せいこう;успех, достижения
生産;せいさん;производство
正式;せいしき;формальность, надлежащая форма (официальная)
精神;せいしん;душа, намерение, дух
成人;せいじん;взрослый
精々;せいぜい;насколько возможно
成績;せいせき;результаты, успехи, успеваемость, достижения
製造;せいぞう;производство, изготовление
贅沢;ぜいたく;роскошь, богатство, расточительность
成長;せいちょう;рост, развитие
制度;せいど;система, строй, режим, порядок
青年;せいねん;юноша, молодой человек, молодежь
製品;せいひん;готовая продукция, товар
政府;せいふ;правительство
生物;せいぶつ;живое существо, организм
生物;なまもの;сырая пища
生命;せいめい;жизнь
整理;せいり;упорядочивание, реорганизация, ликвидация, реализация, сокращение
咳;せき;кашель
石炭;せきたん;каменный уголь
責任;せきにん;ответственность, долг
石油;せきゆ;нефть, керосин
世間;せけん;общество, свет, люди, публика
説;せつ;теория, доктрина, мнение, версия
積極的;せっきょくてき;положительный, позитивный, активный
設計;せっけい;проектирование, проект, план
絶対;ぜったい;абсолютный, категорический, безусловный
;セット;комплект, набор, гарнитур, укладка (волос)
設備;せつび;оборудование, устройство, приспособление
絶滅;ぜつめつ;уничтожение, истребление
節約;せつやく;экономия, сокращение
責める;せめる;упрекать, призывать к ответу
善;ぜん;добро
全員;ぜんいん;все участники, весь штат, весь личный состав
専攻;せんこう;специализация
全国;ぜんこく;вся страна
先日;せんじつ;недавно, на днях
前者;ぜんしゃ;первый (из двух упомянутых)
選手;せんしゅ;спортсмен, игрок, член команды
前進;ぜんしん;продвижение, прогресс
;センター;центр
全体;ぜんたい;целое, всё
選択;せんたく;выбор
象;ぞう;слон
騒音;そうおん;шум
増加;ぞうか;увеличение, прибавление, рост
操作;そうさ;управление, обслуживание (напр. станка), манипулирование
想像;そうぞう;воображение, представление, предположение
相続;そうぞく;наследование
装置;そうち;оборудование, установка (действие), аппаратура
相当;そうとう;соответствовать, соответствующий, подходящий
速度;そくど;скорость
底;そこ;дно, днище, низкий курс
組織;そしき;организация, формирование, структура, строение, система, ткань (биол.)
注ぐ;そそぐ;лить, поливать, впадать (о реке), сосредотачивать усилия, уделять внимание
育つ;そだつ;расти, воспитываться
;そっくり;все целиком, полностью, быть точной копией, нетронутый
;そっと;легонько, тайком, украдкой, как есть
袖;そで;рукав
備える;そなえる;запасать, оборудовать, готовиться, обладать (напр., знаниями)
;そのうち;скоро, со временем, тем временем, среди чего-то
;そのまま;как есть, в том же виде
側;そば;сторона, рядом, поблизости
;ソファー;диван
粗末;そまつ;простой, грубый, бедный, бесцеремонный, невежливый
;それぞれ;каждый в отдельности, каждый по-своему
;それでも;тем не менее, всё же, всё-таки, несмотря на это
;それとも;или
損;そん;убыток, потери, ущерб
損害;そんがい;ущерб, повреждения, убытки
尊敬;そんけい;уважение, почтение
存在;そんざい;существование, наличие, бытие, существо, личность
尊重;そんちょう;уважение, соблюдение, считаться с чем-либо
他;た;другие, остальные
対;たい;противоположность, контраст
台;だい;подставка , стойка, стеллаж, опора, рама, сч. суф. для автомашин, станков
題;だい;заглавие, заголовок, тема, вопрос
体育;たいいく;физическое воспитание, физкультура
体温;たいおん;температура тела
大会;たいかい;съезд, конгресс, конференция, турнир
大気;たいき;атмосфера, воздух
代金;だいきん;плата, цена
退屈;たいくつ;скука
滞在;たいざい;пребывание (напр., в гостинице)
大使;たいし;посол
大した;たいした;большой, значительный, серьёзный, важный
対象;たいしょう;объект, предмет (напр., исследования)
大臣;だいじん;министр
対する;たいする;быть обращенным (на что-либо) , быть направленным против, по отношению к
大戦;たいせん;мировая война
大抵;たいてい;обычно, как правило, большей частью
態度;たいど;отношение, позиция, поведение
大統領;だいとうりょう;президент
大半;たいはん;большинство, большая часть, почти всё
代表;だいひょう;представитель, делегат
大部分;だいぶぶん;большей частью, в основном
;タイプライター;пишущая машинка
大変;たいへん;серьезный, чрезвычайный, трудный, обременительный, крайне
逮捕;たいほ;арест
;ダイヤ;бриллиант, диаграмма, расписание
太陽;たいよう;солнце
平ら;たいら;плоский, ровный, спокойный, равнина
代理;だいり;представитель, заместитель
大陸;たいりく;материк, континент
倒す;たおす;валить, опрокидывать, рушить, свергать, одолеть
;タオル;полотенце
互い;たがい;взаимный, обоюдный
宝;たから;сокровище
宅;たく;дом, жилище, мой муж
;だけど;однако
確かめる;たしかめる;удостоверяться, уточнять, проверять
多少;たしょう;много или мало, более или менее, количество, размер, несколько
助ける;たすける;спасать, выручать, помогать
只;ただ;лишь, только, просто, бесплатно
唯;ただ;только, просто, лишь, бесплатно
戦い;たたかい;война, битва, сражение, борьба, соревнования
戦う;たたかう;сражаться, биться, бороться
叩く;たたく;бить, колотить, ударять, критиковать, нападать
直ちに;ただちに;сразу же, немедленно, прямо, непосредственно
立ち上がる;たちあがる;вставать (на ноги), подниматься, приниматься (за дело)
立場;たちば;место, точка зрения, положение, ситуация
経つ;たつ;проходить (о времени)
達する;たっする;достигать, доходить до, издавать (приказ)
;たった;только, лишь
;だって;ведь, даже
;たっぷり;уйма, вдоволь, вполне
縦;たて;длина, высота, вертикаль
;たとえ;аллегория, метафора, иносказание, метафора, притча, сравнение, аналогия
谷;たに;долина, ущелье, ложбина, низкая точка
他人;たにん;другой человек, посторонний, чужой
種;たね;семя, семена, косточка, порода, род, тема, причина, источник
束;たば;связка, вязанка, сноп, пучок
度;たび;раз
旅;たび;путешествие, поездка, поход
;たびたび;неоднократно, часто, не раз
多分;たぶん;вероятно
玉・球・弾;たま;шар, мяч, бусинка, пуля, снаряд, эл. лампочка, бильярд, драгоценность
偶;たま;время от времени, нечасто
偶々;たまたま;случайно, редко, изредка
堪らない;たまらない;невыносимый, невыносимо
黙る;だまる;молчать, умолчать, замалчивать
駄目;だめ;непригодный, неудачный, бесполезный, напрасный
試し;ためし;проба, попытка
試す;ためす;испытывать, проверять
便り;たより;вести, известия, связи
頼る;たよる;полагаться, надеяться, зависеть
段;だん;ступень, ступенька, раздел, разряд
単位;たんい;единица измерения, балл
単語;たんご;слово, простое несоставное слово
男子;だんし;юноша, молодой человек
単純;たんじゅん;простота
誕生;たんじょう;рождение, возникновение, появление на свет
;ダンス;танец
団体;だんたい;группа, коллектив, организация, объединение
担当;たんとう;исполнение обязанностей
単なる;たんなる;простой, явный
単に;たんに;просто, только
地;ち;земля, почва, местность
地位;ちい;общественное положение, статус, должность, расположение
地域;ちいき;район, зона, участок, регион
;チーズ;сыр
;チーム;команда
知恵;ちえ;ум, разум, сообразительность, находчивость
地下;ちか;подземный
違い;ちがい;отличие, разница, расхождение, ошибка
違いない;ちがいない;несомненно, действительно так
近頃;ちかごろ;недавно, в последнее время, на днях 
地球;ちきゅう;Земля, земной шар
地区;ちく;зона, район, участок
遅刻;ちこく;опоздание
知事;ちじ;губернатор префектуры
知識;ちしき;знание, информация, эрудиция
父親;ちちおや;отец
知能;ちのう;умственные способности, интеллект
地平線;ちへいせん;горизонт, линия горизонта
地方;ちほう;местность, район, округ, провинция, глубинка
茶;ちゃ;чай
;チャンス;шанс
;ちゃんと;как следует, аккуратно, точно
中;ちゅう;центр, середина, второй том из трех, умеренность, среди
注;ちゅう;примечание, комментарий, пояснение
中央;ちゅうおう;центр
中学;ちゅうがく;средняя школа
中古;ちゅうこ;поддержанный, старый, средние века
中止;ちゅうし;приостановка, прекращение, прерывание
駐車;ちゅうしゃ;стоянка (машин итп), паркование
昼食;ちゅうしょく;обед, ланч
中心;ちゅうしん;центр, середина, сосредоточение, равновесие
注目;ちゅうもく;внимание, наблюдение
注文;ちゅうもん;заказ
長期;ちょうき;долгий срок (о времени)
調査;ちょうさ;исследование, обследование, изучение
調子;ちょうし;самочувствие, настроение, тон, интонация, тональность, ритм
頂上;ちょうじょう;вершина, кульминация, апогей
頂戴;ちょうだい;брать, получать, съедать (с удовольствием)
貯金;ちょきん;банковский вклад, сбережения, откладывать деньги
直接;ちょくせつ;прямо, непосредственно, лично
著者;ちょしゃ;автор
遂に;ついに;наконец, в конце концов, в конечном счете
通過;つうか;прохождение (через какую-н. территорию), транзит, проходить, проезжать
通学;つうがく;ходить (ездить) в школу
通行;つうこう;проход, проезд
通じる;つうじる;вести к, доходить до, быть проложенным, курсировать, передавать, быть понятным
通信;つうしん;связь (напр., телефонная), переписка, корреспонденция, сообщение, информация
捕まる;つかまる;быть схваченным, быть пойманным, быть арестованным
掴む;つかむ;хватать, схватывать
疲れ;つかれ;усталость, утомление
付き合い;つきあい;знакомство, компания, общение, поддержание отношений
次々;つぎつぎ;один за другим
就く;つく;поступать (на должность), приступать (к работе)
注ぐ;つぐ;лить, поливать, подкладывать (дрова)
付ける;つける;прикреплять, присоединять, прилагать, вносить (в список)
土;つち;земля, грунт, грязь, глина
続き;つづき;продолжение, ряд, серия
包み;つつみ;свёрток, пакет, обёртка
勤め・務め;つとめ;служба, служебный долг, обязанности
繋ぐ;つなぐ;привязывать, пришвартовывать, связывать, соединять
常に;つねに;обычно, постоянно, всегда
翼;つばさ;крылья, лопасть
;つまり;короче говоря, другими словами, то есть, в конце концов
罪;つみ;преступление, проступок, грех, зло, вина, наказание
詰める;つめる;набивать, наполнять, укладывать потеснее, сокращать, укорачивать
積もる;つもる;нагромождаться, скапливаться, лежать, приблизительно оценивать
梅雨;つゆ;сезон дождей
辛い;つらい;тяжелый, горький
釣;つり;рыбная ловля, сдача
連れ;つれ;спутник, попутчик, компаньон
出会い;であい;встреча, свидание
出会う;であう;натолкнуться, встретиться, договариваться
提案;ていあん;предложение, проект
定期;ていき;установленный срок
抵抗;ていこう;сопротивление, противодействие, эл. сопротивление
提出;ていしゅつ;предъявление, представление
程度;ていど;степень, мера, уровень, предел
停留所;ていりゅうじょ;остановка автобуса или трамвая
;デート;свидание
敵;てき;враг, неприятель, противник, оппонент, конкурент
出来事;できごと;происшествие, событие, инцидент
適する;てきする;соответствовать, подходить, быть пригодным
適切;てきせつ;соответствие, уместность
適度;てきど;умеренность, в меру
適用;てきよう;применение на практике (закона, теории и т.п.)
;できれば;если смогу
手品;てじな;ловкость рук, фокус, трюк
;ですから;поэтому
鉄;てつ;железо
哲学;てつがく;философия
手伝い;てつだい;помощь, помощник
徹底;てってい;полнота, тщательность, аккуратность, последовательность
鉄道;てつどう;железная дорога
徹夜;てつや;бессонная ночь, не спать всю ночь
手間;てま;рабочее время, работа, оплата труда
;デモ;(сокр.) демо, демонстрация
典型;てんけい;тип, категория, образец
天候;てんこう;погода, погодные условия
電子;でんし;электрон, электроника, электронная аппаратура
;テント;палатка, навес
伝統;でんとう;традиция
天然;てんねん;природа, натуральный, естественный
問い;とい;вопрос, запрос
党;とう;политическая партия
塔;とう;башня, пагода, обелиск, монумент
答案;とうあん;письменная экзаменационная работа, письменный ответ на вопросы
同一;どういつ;тождественность, идентичность, равенство, равноправие
銅貨;どうか;медная монета
当時;とうじ;в то время, в момент чего-то, теперь, настоящее время
動詞;どうし;глагол
同時;どうじ;в то же время, одновременно, синхронно
;どうしても;во что бы то ни стало, любой ценой, ни в коем случае (с отриц.), неизбежно, обязательно
到着;とうちゃく;прибытие
道徳;どうとく;нравственность, мораль
投票;とうひょう;голосование, баллотировка
同様;どうよう;такой же, похожий, такого же рода
同僚;どうりょう;сослуживец, коллега
道路;どうろ;дорога, шоссе, улица
通す;とおす;давать пройти, пропускать, провести (напр. законопроект), провожать
通り;とおり;улица, дорога, проезд, уличное движение, слышимость
通り過ぎる;とおりすぎる;проходить (проезжать) мимо, проноситься
都会;とかい;город
解く;とく;развязывать, распутывать, разбирать, разгадывать, освобождать (от обещаний), рассеивать (сомнения)
毒;どく;яд, отрава, токсины, инфекция, вирусы, порча, злоба
得意;とくい;торжество, гордость, расцвет, лучшая пора, конёк, сильная сторона
読書;どくしょ;чтение
独身;どくしん;одинокая жизнь, безбрачие, незамужняя, холостяк
特徴;とくちょう;отличительная черта, особенность
独特;どくとく;своеобразный, самобытный, характерный
独立;どくりつ;независимость, самостоятельность, обособление
解ける;とける;развязываться, распутываться, быть разгаданным, проходить, развеиваться
;ところが;однако, но
;ところで;кстати, между прочим, даже если
登山;とざん;восхождение на гору, альпинизм
都市;とし;город
年月;としつき・ねんげつ;годы и месяцы, годы, время
図書;としょ;книги
年寄;としより;пожилой человек, старшее поколение
閉じる;とじる;закрывать, запирать
途端;とたん;в тот самый момент, как только
土地;とち;земля, участок земли, почва, местность, район
突然;とつぜん;неожиданно, внезапно, вдруг
;トップ;верх, топовая позиция, топ-менеджер
届く;とどく;доставать, достигать, доходить (о письме), быть полученным, исполняться
;とにかく;как бы то там не было, во всяком случае
飛ばす;とばす;пускать по воздуху, бросать вверх, гнать, сдувать, расплескивать, разбрасывать
飛び出す;とびだす;вылетать, выскакивать, выбегать, появляться, вылезать
留める;とめる;выключить, задерживать, прекращать, останавливать
共に;ともに;вместе
土曜;どよう;(сокр.) суббота
虎;とら;тигр, пьяница
;ドライブ;привод, езда, поездка, крученный удар по мячу
;トラック;грузовик, дорожка
;ドラマ;драма
;トランプ;игральные карты
取り上げる;とりあげる;брать в руки, поднимать, принимать (требования), отбирать
努力;どりょく;старания, усилия
どれ;どれ;какой? который (из нескольких)? где?
;ドレス;платье, костюм
取れる;とれる;получать, приобретать, добываться, выходить, проходить (о боли)
泥;どろ;грязь, слякоть
トン;тонна
;とんでもない;нелепый, ужасный, неожиданный, невероятный
;どんな;какой? 
;どんなに;как, насколько, как бы ни, сколько бы ни
;トンネル;тоннель
名;な;имя, название, наименование, известность
内容;ないよう;содержание, содержимое
;なお;ещё (больше), все (ещё), еще важнее, тем более, далее
仲;なか;отношения
流す;ながす;пускать по течению, лить, смывать
半ば;なかば;половина, середина
仲間;なかま;компания, группа, приятели, товарищи
眺め;ながめ;вид, пейзаж
眺める;ながめる;смотреть на, разглядывать
流れ;ながれ;течение, поток, линия родства
流れる;ながれる;течь, плыть, быть снесенным течением, скитаться, протекать (о времени)
無し;なし;без, не быть, не иметься
;なぜなら;по причине того, что
謎;なぞ;загадка, намёк
納得;なっとく;согласие, понимание
等;など;и так далее, и тому подобное, и другие
鍋;なべ;кастрюля, сковородка
生;なま;сырой, натуральный, необработанный, наличные деньги, (бочковое) пиво
怠ける;なまける;лениться, лентяйничать
波;なみ;волна
涙;なみだ;слёзы
悩む;なやむ;страдать, мучаться
成る・為る;なる;становиться, делаться, получаться
縄;なわ;верёвка, канат
何で;なんで;почему, отчего, зачем
何でも;なんでも;всё что угодно, во что бы то ни стало, все равно, ничего (с отриц.)
何とか;なんとか;что-нибудь, как-то, как-нибудь
似合う;にあう;быть подходящим, подходить друг к другу, быть к лицу
苦手;にがて;слабое место, то что человек не любит (не умеет)
握る;にぎる;брать (в руки), держать (в руке), захватывать, схватывать
日常;にちじょう;обычный, постоянный, повседневный
日曜;にちよう;(сокр.) воскресенье
日光;にっこう;солнечный свет
日中;にっちゅう;дневное время, днём, Япония и Китай, японско-китайский
;にっこり;приветливая улыбка
入場;にゅうじょう;вход
人気;にんき;популярность, авторитет, успех, настроения населения, конъюнктура
人間;にんげん;человек, человечество
抜く;ぬく;вытаскивать, извлекать, выдергивать, удалять, делать выписки, превосходить
抜ける;ぬける;выпадать, выниматься, быть пропущенным, сходить на нет, не хватать
布;ぬの;ткань, материя, полотно
濡れる;ぬれる;промокать, намокать
根;ね;корень, основание, нижняя часть, подножие, натура
値;ね;цена, стоимость
願い;ねがい;просьба, мольба, желание, прошение, заявление
願う;ねがう;просить, молить, желать, хотеть
鼠;ねずみ;крыса, мышь, тёмно-серый цвет
熱帯;ねったい;тропический пояс
熱中;ねっちゅう;энтузиазм, пыл, увлеченность
年間;ねんかん;год, годичный срок, на год, в течение года
年中;ねんじゅう;круглый год, всё время
年代;ねんだい;годы, эпоха, период
年齢;ねんれい;возраст
野;の;поле, равнина
能;のう;способности
農家;のうか;крестьянский дом (двор, семья, хозяйство), крестьяне
農業;のうぎょう;сельское хозяйство, земледелие
農民;のうみん;крестьяне, крестьянство
能力;のうりょく;способность, возможность, (юр.) дееспособность
;ノー;нет
軒;のき;карниз
残す;のこす;оставлять, сохранять
残り;のこり;остаток
乗せる;のせる;сажать (пассажиров), класть, ставить, погружать
除く;のぞく;устранять, убирать, исключать, удалять
望み;のぞみ;желание, надежда
望む;のぞむ;желать, надеяться, видеть вдалеке
後;のち;потом, позднее, после, далее
;ノック;стук
伸ばす;のばす;растягивать, удлинять, отращивать, вытягивать, развивать
伸びる;のびる;растягиваться, удлиняться, расти
述べる;のべる;излагать, высказывать, выражать, рассказывать
昇る;のぼる;восходить (о солнце, луне), подниматься высоко вверх (о дыме)
;のんびり;беззаботно, свободно, непринужденно
場;ば;место, пространство, сцена, ситуация
;はあ;Да, А?, Что?
;パーセント;процент
灰;はい;пепел, зола
梅雨;ばいう;сезон дождей
;バイオリン;скрипка
;ハイキング;пеший поход, экскурсия
配達;はいたつ;доставка, рассылка
;パイプ;труба, трубка, связи, отношения, каналы
俳優;はいゆう;актёр, актриса
;パイロット;пилот, лоцман
墓;はか;могила, гробница, склеп
馬鹿;ばか;дурак, дура, глупость, чушь
博士;はかせ;доктор наук, знаток, профессор
計る;はかる;мерить, измерять, взвешивать, подсчитывать, оценивать
履く;はく;обувать, надевать на нижнюю часть тела
吐く;はく;рвать, тошнить, отхаркивать, выплевывать, выдыхать, высказывать
拍手;はくしゅ;аплодисменты
莫大;ばくだい;колоссальный, огромный, громадный
爆発;ばくはつ;взрыв, детонация
博物館;はくぶつかん;музей
激しい;はげしい;сильный, яростный, резкий, острый, бурный
鋏;はさみ;ножницы
破産;はさん;разорение, банкротство, крах
端;はし・はじ;конец, край, обрывок, клочок
始まり;はじまり;начало
;パス;пас, пропуск, сезонный билет, сдача экзамена
外す;はずす;отцеплять, пропускать, упускать, отменять, уклоняться
;パスポート;паспорт
旗;はた;флаг, знамя
肌;はだ;кожа, голое тело, поверхность, текстура, характер
裸;はだか;голый, обнаженный, нищий
畑;はたけ;поле, плантация, огород, поле деятельности, поприще
働き;はたらき;работа, труд, функционирование, способности, достижения
;バッグ;сумка, ошибка в программе
発見;はっけん;открытие, обнаружение
発行;はっこう;выпуск, издание, публикация, эмиссия
発車;はっしゃ;отправление (поезда, автобуса)
罰する;ばっする;наказывать, карать
発達;はったつ;развитие, рост, прогресс
;ばったり;с шумом, внезапно, неожиданно
発展;はってん;развитие, развёртывание, успех, процветание
発表;はっぴょう;публикация, сообщение, оглашение
発明;はつめい;изобретение, одарённость
話し合う;はなしあう;разговаривать, беседовать, советоваться
離す;はなす;отделять, разъединять, разделять, расставаться
放す;はなす;отпускать, выпускать
離れる;はなれる;отделяться, отдаляться, расставаться, покидать
羽;はね;перо, оперение, крылья, лопасть
幅;はば;ширина, размах, влияние, вес
母親;ははおや;мать
省く;はぶく;исключать, устранять, сокращать, экономить
場面;ばめん;сцена, явление, место действия, ситуация, положение
腹;はら;живот, желудок, душа, намерения
原;はら;равнина, поле, степь
針;はり;игла, шип, колючка, жало
張る;はる;растягивать, расправлять, покрывать, оклеивать, делать ставку, вздуваться, быть покрытым, быть значительным
番;ばん;номер, очередь, очередность, охрана, охранник
;バン;булочка, добавленная стоимость, фургон
範囲;はんい;сфера, область, круг, диапазон, пределы
反抗;はんこう;сопротивление, отпор, оппозиция, враждебность, восстание
犯罪;はんざい;преступление, уголовное дело
;ハンサム;красивый
判断;はんだん;суждение, заключение, оценка, дешифровка, гадание
犯人;はんにん;преступник
販売;はんばい;продажа, торговля
灯;ひ;свет, освещение, лампа, факел
;ビール;пиво
被害;ひがい;ущерб, потери, убытки
比較;ひかく;сравнение
轢く;ひく;переехать (кого-либо), задавить, сбить (пешехода)
;ピクニック;пикник
悲劇;ひげき;трагедия
飛行;ひこう;полёт
膝;ひざ;колено
非常;ひじょう;экстренная ситуация, несчастный случай, происшествие
美人;びじん;красавица
額;ひたい;лоб
;びっくり;удивляться, изумляться, пугаться
日付;ひづけ;дата
必死;ひっし;неизбежная смерть, отчаяние
;ぴったり;плотно, вплотную, точно, идеально, как раз
引っ張る;ひっぱる;тянуть, тащить, волочить, протягивать (веревку)
否定;ひてい;отрицание
;ビデオ;видео
一言;ひとこと;одно слово
人込み;ひとごみ;толпа
等しい;ひとしい;равный, одинаковый
一人・独り;ひとり;один человек, одиночка
一人一人;ひとりひとり;каждый в отдельности, поодиночке, один за другим
批判;ひはん;критика
批評;ひひょう;критика, обзор
秘密;ひみつ;секрет, тайна
微妙;びみょう;тонкий, деликатный, тщательный, скрупулезный
紐;ひも;тесёмка, шнурок, завязка
費用;ひよう;расход, затраты
表;ひょう;таблица, диаграмма, график, список
秒;びょう;секунда
評価;ひょうか;оценка, расценка, котировка
表現;ひょうげん;выражение, проявление, экспрессия
表情;ひょうじょう;выражение лица
平等;びょうどう;равенство
評判;ひょうばん;репутация, известность, слухи
表面;ひょうめん;лицевая сторона, поверхность
広がる;ひろがる;шириться, распространяться, простираться
品;ひん;изящество, изысканность, достоинство
瓶;びん;бутылка, флакон, фляга, графин
便;びん;почта, доставка, случай, оказия, авиарейс
;ピン;булавка, кнопка, прищепка
不;ふ・ぶ;не-, префикс отрицания
無;ぶ;префикс отсутствия, не-
分;ぶ;процент, часть
不安;ふあん;беспокойство, тревога
風景;ふうけい;вид, пейзаж
夫婦;ふうふ;муж и жена, супруги
笛;ふえ;флейта, дудка, свирель, свисток
不可;ふか;неправильный, непозволительный, неудовлетворительно (оценка)
武器;ぶき;оружие
服装;ふくそう;одежда, одеяние, костюм
含む;ふくむ;держать во рту, содержать, заключать в себе, подразумевать, иметь ввиду
袋;ふくろ;мешок, сумка, пакет
不幸;ふこう;несчастье, беда, горе
節;ふし;сустав, утолщение, нарост, сучок, мелодия, пункт, признак
無事;ぶじ;благополучно, спокойно
不思議;ふしぎ;чудо, загадка, тайна, удивительный, непонятный, странный
不自由;ふじゆう;неудобство, стесненность в средствах, нужда
