ID;JP;JP_KANA;RU;
633;汚れる;よごれる;пачкаться, загрязняться;
634;予習;よしゅう;подготовка уроков;
635;予定;よてい;план, расписание, намётка, предварительный расчёт;
636;予約;よやく;договорённость, заказ, бронирование, подписка;
637;寄る;よる;приближаться, подходить, заходить, собираться;
638;喜ぶ;よろこぶ;радоваться;
639;宜しい;よろしい;хороший;
640;弱い;よわい;слабый;
641;理由;りゆう;причина, мотив, повод;
642;利用 (する);りよう;использование, применение;
643;両方;りょうほう;оба, обе стороны;
644;旅館;りょかん;гостиница в японском стиле;
645;留守;るす;отсутствие, пребывание вне дома;
646;歴史;れきし;история;
647;連絡（する）;れんらく;связь, контакт, коммуникация;
648;沸かす;わかす;кипятить, будоражить, волновать;
649;別れる;わかれる;отделяться;
650;沸く;わく;кипеть, бурлить, плавиться, расплавляться;
651;訳;わけ;смысл, значение, суть, причина;
652;忘れ物;わすれもの;забытая вещь;
653;笑う;わらう;смеяться;
654;割合;わりあい;соотношение;
655;割合に;わりあいに;сравнительно, относительно;
656;割れる;われる;разбиваться, трескаться, делиться на…;
